age,job,marital,education,default,balance,housing,loan
47,5,2,4,0,1506,1,0
33,12,1,4,0,1,0,0
58,1,2,4,0,71,1,0
45,6,1,4,0,13,1,0
60,5,2,4,0,104,1,0
58,9,2,4,0,96,1,0
47,5,2,4,0,306,1,0
40,5,1,4,0,24,1,0
49,5,2,4,0,154,1,0
60,5,2,4,0,54,1,0
56,1,3,4,0,56,1,0
34,6,2,4,0,3,1,0
55,11,2,4,0,1185,0,0
43,2,1,4,0,0,0,0
51,5,2,4,0,-19,1,0
51,5,2,4,0,1883,1,0
48,2,2,4,0,1705,1,0
53,4,2,4,0,19,1,0
40,2,3,4,0,4384,1,0
35,3,1,4,0,298,1,0
39,2,1,4,0,257,1,0
47,12,2,4,0,28,0,0
53,10,2,4,0,13,0,0
43,1,3,4,0,205,1,0
58,11,2,4,0,1065,1,0
36,5,2,4,0,1033,0,0
53,5,2,4,0,1827,0,0
43,4,2,4,0,100,1,0
42,11,2,4,0,275,0,0
58,11,2,3,0,2143,1,0
35,11,2,3,0,231,1,0
28,11,1,3,0,447,1,1
42,4,3,3,1,2,1,0
56,11,2,3,0,779,1,0
39,11,1,3,0,255,1,0
49,11,2,3,0,378,1,0
51,11,2,3,0,10635,1,0
58,8,2,3,0,-364,1,0
29,11,1,3,0,0,1,0
48,11,3,3,0,-244,1,0
32,11,2,3,0,0,1,0
38,4,1,3,0,243,0,1
38,11,1,3,0,424,1,0
32,6,2,3,0,0,1,0
51,11,2,3,0,6530,1,0
60,9,2,3,0,100,0,0
59,11,3,3,0,59,1,0
46,8,2,3,0,137,1,1
36,11,2,3,0,101,1,1
60,9,2,3,0,81,1,0
46,11,2,3,0,229,1,0
27,1,1,3,0,0,1,0
47,1,2,3,0,151,1,0
45,11,2,3,0,523,1,0
33,11,1,3,0,-67,1,0
59,11,3,3,0,262,0,0
52,1,2,3,0,7,0,1
28,10,1,3,0,0,1,0
57,10,2,3,0,42,0,0
40,11,2,3,0,-4,1,0
39,1,1,3,0,47,1,0
52,11,2,3,0,271,1,0
54,6,2,3,0,184,0,0
31,2,2,3,0,37,1,0
36,6,2,3,0,211,1,0
31,11,1,3,0,0,1,0
33,11,2,3,0,377,1,0
55,11,2,3,0,73,1,0
50,1,3,3,0,173,0,1
43,11,2,3,0,400,1,0
48,8,2,3,0,7,1,0
41,11,2,3,0,176,1,1
41,11,2,3,0,517,1,0
40,1,2,3,0,483,1,0
39,11,2,3,0,378,1,1
33,11,1,3,0,34,1,0
49,11,2,3,0,3237,1,0
40,11,2,3,0,207,1,0
44,1,1,2,0,29,1,0
33,4,2,2,0,2,1,1
43,1,1,2,0,593,1,0
41,6,3,2,0,270,1,0
29,6,1,2,0,390,1,0
53,1,2,2,0,6,1,0
57,2,2,2,0,162,1,0
33,2,2,2,0,0,1,0
28,5,2,2,0,723,1,1
25,2,2,2,0,50,1,0
44,6,2,2,0,-372,1,0
52,4,2,2,0,113,1,1
46,11,1,2,0,-246,1,0
36,1,1,2,0,265,1,1
57,1,2,2,0,839,0,1
60,6,2,2,0,39,1,1
59,5,2,2,0,0,1,0
57,1,3,2,0,63,1,0
25,5,2,2,0,-7,1,0
53,1,2,2,0,-3,0,0
36,6,3,2,0,506,1,0
37,6,1,2,0,0,1,0
44,2,3,2,0,2586,1,0
50,11,2,2,0,49,1,0
54,9,2,2,0,529,1,0
44,1,2,2,0,0,1,0
55,1,3,2,0,0,0,0
54,5,2,2,0,1291,1,0
42,6,1,2,0,-76,1,0
24,1,1,2,0,-103,1,1
53,1,3,2,0,989,1,0
33,2,2,2,0,790,1,0
55,1,2,2,0,1205,1,0
35,5,1,2,0,12223,1,1
57,5,2,2,0,5935,1,1
31,2,2,2,0,25,1,1
54,11,2,2,0,282,1,1
43,1,2,2,0,1937,1,0
53,1,2,2,0,384,1,0
44,5,2,2,0,582,0,1
55,2,3,2,0,91,0,0
49,2,3,2,0,0,1,1
55,2,3,2,1,1,1,0
45,6,1,2,0,206,1,0
47,2,3,2,0,164,0,0
42,1,1,2,0,690,1,0
59,6,2,2,0,2343,1,0
56,6,2,2,0,45,0,0
41,1,2,2,0,1270,1,0
46,11,3,2,0,16,1,1
57,9,2,2,0,486,1,0
42,11,1,2,0,50,0,0
30,1,2,2,0,152,1,1
60,6,2,2,0,290,1,0
57,4,3,2,0,-37,0,0
55,5,2,2,0,383,0,0
39,1,2,2,0,0,1,0
44,5,2,2,0,-674,1,0
44,5,2,2,0,54,1,0
34,6,2,2,0,61,0,1
59,9,1,2,0,30,1,0
29,2,3,2,0,31,1,0
46,1,3,2,0,79,0,0
44,5,2,2,0,144,1,0
41,6,2,2,0,351,1,0
51,5,2,2,0,26,1,0
43,2,2,2,0,41,1,1
33,1,1,2,0,105,1,0
29,6,1,2,0,818,1,1
34,2,2,2,0,-16,1,1
31,5,2,2,0,0,1,0
55,2,2,2,0,2476,1,0
32,6,1,2,0,217,1,0
38,1,1,2,0,1685,1,0
55,6,1,2,0,802,1,1
23,5,2,2,0,94,1,0
32,1,1,2,0,0,1,0
32,5,2,2,0,517,1,0
46,5,2,2,0,265,1,0
34,8,1,2,0,3,1,0
37,5,2,2,0,37,1,0
59,5,2,2,0,57,1,0
33,2,2,2,0,22,1,0
48,10,2,2,0,293,1,0
26,3,1,2,0,0,1,0
39,11,2,2,0,18,1,0
41,2,2,2,0,0,1,0
60,9,3,2,0,216,1,0
52,5,2,2,0,782,1,0
48,5,2,2,0,904,1,0
47,2,1,2,0,176,1,0
40,5,2,2,0,1225,1,0
45,1,2,2,0,86,1,0
26,6,1,2,0,82,1,0
54,1,2,2,0,1378,1,0
35,5,2,2,0,0,1,0
44,2,2,2,0,1357,1,1
60,6,3,2,0,92,1,0
53,6,3,2,0,1151,1,0
48,10,2,2,0,41,1,0
34,1,2,2,0,51,1,0
54,2,2,2,0,214,1,0
51,11,2,2,0,1161,1,0
35,1,3,2,0,787,1,0
35,2,2,2,0,59,1,0
38,1,2,2,0,253,1,0
54,11,2,2,0,4080,0,0
34,5,1,2,0,53,1,1
51,9,2,2,0,2127,1,0
42,6,2,2,0,445,1,0
34,5,2,2,0,243,1,0
33,5,1,2,0,307,1,0
38,2,2,2,0,155,1,0
47,6,2,2,0,219,1,0
44,5,2,2,0,575,1,0
35,2,2,2,0,0,1,0
50,2,2,2,0,5699,1,0
42,9,2,2,0,56,1,0
38,5,2,2,0,-390,1,0
53,9,2,2,0,330,1,0
36,2,2,2,0,301,1,0
40,10,2,2,0,219,1,0
35,4,3,2,0,-69,1,0
55,9,2,2,0,0,0,1
53,2,3,2,0,1467,1,0
31,2,2,2,0,388,1,0
57,4,2,2,0,294,1,0
53,6,3,2,0,315,1,0
44,6,3,2,0,66,1,0
46,1,2,2,0,349,1,1
38,6,2,2,0,0,0,0
43,1,2,2,0,434,1,0
22,5,1,2,0,0,1,0
39,5,2,2,0,483,1,0
58,9,2,1,0,121,1,0
51,9,2,1,0,229,1,0
57,5,2,1,0,52,1,0
60,9,2,1,0,60,1,0
32,5,1,1,0,23,1,1
40,9,2,1,0,0,1,1
36,6,1,1,0,-171,1,0
46,2,2,1,0,179,1,0
57,5,2,1,0,249,1,0
55,5,2,1,0,23,1,0
51,5,2,1,0,173,1,0
53,5,2,1,0,90,0,0
52,5,2,1,0,128,1,0
59,5,2,1,0,179,1,0
56,8,2,1,0,-34,1,1
36,5,2,1,0,448,1,0
59,9,3,1,0,81,1,0
57,1,2,1,0,0,0,0
53,7,3,1,0,947,1,0
56,5,3,1,0,8,1,0
43,2,2,1,0,3,1,0
54,5,2,1,0,348,1,0
50,1,2,1,0,139,0,0
50,5,2,1,0,0,0,0
35,9,1,1,0,434,0,0
58,9,2,1,0,235,1,0
61,5,3,1,0,1428,1,0
59,7,3,1,0,195,0,0
54,5,2,1,0,-41,1,0
46,7,2,1,0,965,0,0
28,5,2,1,0,324,1,0
48,5,2,1,0,278,1,0
47,5,2,1,0,-12,1,0
55,5,2,1,0,627,1,0
45,5,2,1,0,25,1,0
37,5,2,1,0,0,1,0
49,5,3,1,0,-9,1,1
